Name,Study,Query_Num,Is_CS,Phase,Mode,Dataset,Question,Transcript_X,Transcript_Y,SQL_Translation,Context,Answer,Flight_Score,Credit_Score
P0,MS1,12,Y,E2,Spoken,Credit,What is the total trans count of a male who is 44?,what is the total trans count a male who's 44,what is the billable kron's gallant are male who's forty four,SELECT Total_Trans_Ct FROM Credit WHERE Gender = 'M' AND Customer_Age = 44,0,The average total transaction value for a Male with age of 44 is 5479.98 dollars.,3.5,7.5
P0,MS1,11,Y,E2,Spoken,Credit,How much do males transfer on average?,how much do maelstroms for on average,how much new mails Johns %HESITATION on average,NP,0,"Unknown identifier: ""transfer""",3.5,7.5
P0,MS1,18,Y,E2,Spoken,Credit,Give me the credit limit of all unknown individuals.,give me the credit limit of all unknown individuals,give me the credit limit of all unknown individuals,SELECT Credit_Limit FROM Credit WHERE Education_Level = 'Unknown',0,The average credit limit when education level is Unknown is 3597.12 dollars.,3.5,7.5
P0,MS1,3,Y,E2,Spoken,Credit,What is the average education level?,what is the average education level,what is the average education level,NP,0,"Unknown identifier: ""average"" for text column",3.5,7.5
P0,MS1,17,Y,E2,Spoken,Credit,How many education level individuals are unknown?,how many education level individuals are unknown,how many education level individuals are unknown,SELECT COUNT(*) FROM Credit WHERE Education_Level = 'Unknown',0,There are 456 customers with education level Unknown.,3.5,7.5
P0,MS1,16,Y,E2,Spoken,Credit,List me all the possible education levels.,list me all the possible education levels,list me all the possible education levels,SELECT DISTINCT Education_Level FROM Credit,0,All possible education levels are Graduate~ Post-Graduate~ High School~ Unknown~ and Doctorate.,3.5,7.5
P0,MS1,14,Y,E2,Spoken,Credit,Give me all the column values for the fifth individual in the database.,give me all the column values for V individual in the database,give me all the column values but the individual and the date of this,NP,0,"Unknown identifier: ""fifth individual""",3.5,7.5
P0,MS1,6,Y,E2,Spoken,Credit,How many customers above the median of the customer age are male?,how many customers above the median of the customer age are male,how many customers above the median of the customer H. R. mail,SELECT COUNT(*) FROM Credit WHERE Gender = 'M' AND Customer_Age > (SELECT PERCENTILE_CONT(0.5) WITHIN GROUP(ORDER BY Customer_Age) FROM Credit),0,There are 2617 customers above age 42 who are Male.,3.5,7.5
P0,MS1,5,Y,E2,Spoken,Credit,What is the median of the customer age?,what is the median of the customer Ranch,what is the median of the customer,SELECT PERCENTILE_CONT(0.5) WITHIN GROUP(ORDER BY Customer_Age) FROM Credit,0,The median customer age is 42.,3.5,7.5
P0,MS1,13,Y,E2,Spoken,Credit,Give me all column values of a randomly selected row.,give me all column values of a random randomly-selected bro,give me all column values of our grandsons Brandon list selected pro,NP,0,"Unknown identifier: ""randomly selected row""",3.5,7.5
P0,MS1,4,Y,E2,Spoken,Credit,What is the most popular education level?,what is the most popular education level,what is the most popular education level,SELECT Education_Level FROM Credit GROUP BY Education_Level ORDER BY COUNT(*) DESC LIMIT 1,0,The most common education level is High School.,3.5,7.5
P0,MS1,8,Y,E2,Spoken,Credit,What is the average income of a married~ female~ over 61 years of age individual?,what is the average income of a married female over 61 years of age individual,what is the average and gone up a married female,NP,0,"Unknown identifier: ""average"" for text column.",3.5,7.5
P0,MS1,7,Y,Q1,Written,Flight,airport with the most and least delayed flights,NA,NA,(SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY COUNT(*) DESC LIMIT 1) UNION (SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY COUNT(*) ASC LIMIT 1),0,The origin airport with the most delays was ATL~ the origin airport with the least delays was Zipcode 11503.,3.5,7.5
P0,MS1,6,Y,Q1,Written,Flight,number of cancelled flights,NA,NA,SELECT COUNT(*) FROM Flight WHERE Cancelled = 1,0,There were 89884 cancelled flights.,3.5,7.5
P0,MS1,18,Y,Q1,Written,Flight,What is everyone's favourite airport,NA,NA,NP,0,"Unknown identifier: ""favourite""",3.5,7.5
P0,MS1,8,Y,Q1,Written,Flight,airline with the most and least delayed flights,NA,NA,(SELECT Airline FROM Flight GROUP BY Airline ORDER BY COUNT(*) DESC LIMIT 1) UNION (SELECT Airline FROM Flight GROUP BY Airline ORDER BY COUNT(*) ASC LIMIT 1) ,0,The airline with the most delayed flights was Southwest Airlines~ the airline with the least delayed flights was Alaskan Airlines.,3.5,7.5
P0,MS1,4,Y,Q1,Written,Flight,most popular airport,NA,NA,SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY COUNT(*) DESC LIMIT 1,0,The origin airport with the most delays was ATL.,3.5,7.5
P0,MS1,16,Y,Q1,Written,Flight,What airlines fly out of Zipcode 87162,NA,NA,SELECT DISTINCT Airline FROM Flight WHERE Origin_Airport = '87162',0,The airline with the most flights out of Zipcode 87162 is Delta airlines.,3.5,7.5
P0,MS1,14,Y,Q1,Written,Flight,largest gap between scheduled departure and departure time,NA,NA,SELECT MAX(Scheduled_Departure - Departure_Time) FROM Flight,0,The longest flight delay was 1478 minutes.,3.5,7.5
P0,MS1,12,Y,Q1,Written,Flight,most popular origin airport,NA,NA,SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY COUNT(*) DESC LIMIT 1,0,The origin airport with the most delays was ATL.,3.5,7.5
P0,MS1,3,Y,Q1,Written,Flight,most popular airline,NA,NA,SELECT Airline FROM Flight GROUP BY Airline ORDER BY COUNT(*) DESC LIMIT 1,0,The airline with the most flight delays was Southwest Airlines.,3.5,7.5
P0,MS1,1,Y,Q1,Written,Flight,longest delayed flight,NA,NA,SELECT MAX(Departure_Time - Scheduled_Departure) FROM Flight,0,The longest flight delay was 1408 minutes.,3.5,7.5
P0,MS1,17,Y,Q1,Written,Flight,most popular origin airport and arrival airport,NA,NA,(SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY COUNT(*) DESC LIMIT 1) UNION (SELECT Destination_Airport FROM Flight GROUP BY Destination_Airport ORDER BY COUNT(*) DESC LIMIT 1),0,The origin airport with the most delays is ATL~ the destination airport with the most delays is ATL.,3.5,7.5
P0,MS1,9,Y,Q1,Written,Flight,airline with the most and least cancelled flights,NA,NA,(SELECT Airline FROM Flight GROUP BY Airline ORDER BY SUM(Cancelled) DESC LIMIT 1) UNION (SELECT Airline FROM Flight GROUP BY Airline ORDER BY SUM(Cancelled) ASC LIMIT 1) ,0,The airline with the most cancelled flights was Delta~ the airline with the least cancelled flights was Alaskan AIrlines.,3.5,7.5
P0,MS1,11,Y,Q1,Written,Flight,most popular destination,NA,NA,SELECT Destination_Airport FROM Flight GROUP BY Destination_Airport ORDER BY COUNT(*) DESC LIMIT 1,0,The destination airport with the most delays was ATL.,3.5,7.5
P0,MS1,5,Y,Q1,Written,Flight,number of flights in the year,NA,NA,SELECT COUNT(*) FROM Flight,0,There were 6178192 delayed flights.,3.5,7.5
P0,MS1,15,Y,Q1,Written,Flight,smallest gap between scheduled departure and departure time,NA,NA,SELECT MIN(Scheduled_Departure - Departure_Time) FROM Flight,0,The smallest flight delay was -91 minutes.,3.5,7.5
P0,MS1,10,Y,Q1,Written,Flight,airport with the most and least cancelled flights,NA,NA,(SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY SUM(Cancelled) DESC LIMIT 1) UNION (SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY SUM(Cancelled) ASC LIMIT 1) ,0,The origin airport with the most cancelled flights was ATl~ the origin airport with the least cancelled flights was Zipcode 87162.,3.5,7.5
P0,MS1,2,Y,Q1,Written,Flight,average delayed flight,NA,NA,SELECT AVG(Departure_Time - Scheduled_Departure) FROM Flight,0,The average flight delay was 9.37 minutes.,3.5,7.5
P0,MS1,13,Y,Q1,Written,Flight,largest gap between scheduled arrival and departure,NA,NA,SELECT MAX(Scheduled_Arrival - Scheduled_Departure) FROM Flight,0,The largest difference between scheduled arrival and scheduled departure was 781 minutes.,3.5,7.5
P0,MS1,6,Y,Q2,Spoken,Credit,How many females are there?,how many females are there,I'm an email program,SELECT COUNT(*) FROM Credit WHERE Gender = 'F',0,There are 5231 Female customers.,3.5,7.5
P0,MS1,17,Y,Q2,Spoken,Credit,Lowest~ highest~ and average credit limit for males and females,lowest highest and average credit limit for males and females,lowest highest and average credit limit for males and females,"SELECT Gender, MAX(Credit_Limit), MIN(Credit_Limit), AVG(Credit_Limit) FROM Credit GROUP BY Gender",0,For Males~ the highest credit limit is 34516~ the average is 9211~ and the lowest is 516 dollars. Fro Females~ the highest credit limit is 29116~ the average is 9971~ and the lowest is 518 dollars.,3.5,7.5
P0,MS1,12,Y,Q2,Spoken,Credit,Most common~ highest~ and lowest income category,most common highest and lowest income tax credit,most common highest and lowest income category,NP,0,The most common income category is < $40K. The lowest is < $40K and highest is > $120K.,3.5,7.5
P0,MS1,19,Y,Q2,Spoken,Credit,Highest and lowest total trans amount,highest and lowest total trans amount,highest and lowest local trans amount,"SELECT MAX(Total_Trans_Amt), MIN(Total_Trans_Amt) FROM Credit",0,The highest total transaction amount is 1090181 and the lowest is 819.,3.5,7.5
P0,MS1,2,Y,Q2,Spoken,Credit,What's the most common attrition flag?,what's the most common attrition flag,what's the most common attrition block,SELECT Attrition_Flag FROM Credit GROUP BY Attrition_Flag ORDER BY COUNT(*) DESC LIMIT 1,0,There are 8500 Existing customers~ and 1500 attrited customers.,3.5,7.5
P0,MS1,18,Y,Q2,Spoken,Credit,Total trans amount,total trans amount,total Transamerica,SELECT Total_Trans_Amt FROM Credit,0,The average total transaction amount is 4404.08.,3.5,7.5
P0,MS1,15,Y,Q2,Spoken,Credit,Least common card category,least common card category,least common card got it right,SELECT Card_Category FROM Credit GROUP BY Card_Category ORDER BY COUNT(*) ASC LIMIT 1,0,The least common card category is Platinum.,3.5,7.5
P0,MS1,13,Y,Q2,Spoken,Credit,Most common card category~ most common card category for males~ most common card category for females,most common card category most common cause of males penis,most common card got degree most common guard Gary males must garden guide conquered,(SELECT Card_Category FROM Credit GROUP BY Card_Category ORDER BY COUNT(*) DESC LIMIT 1) UNION (SELECT Card_Category FROM Credit WHERE Gender = 'M' GROUP BY Card_Category ORDER BY COUNT(*) DESC LIMIT 1) UNION (SELECT Card_Category FROM Credit WHERE Gender = 'F' GROUP BY Card_Category ORDER BY COUNT(*) DESC LIMIT 1),0,The most common card category is Blue. For Males it is Blue. For Female it is Blue.,3.5,7.5
P0,MS1,1,Y,Q2,Spoken,Credit,What's the most popular question asked to this database?,what's the most popular question asked the state of this,what's the most popular question asking the state of this,NP,0,"Unknown identifier: ""most popular question""",3.5,7.5
P0,MS1,16,Y,Q2,Spoken,Credit,Lowest~ highest~ and average credit limit,lowest cost highest and average credit limit,lowest cost highest and average credit limit,"SELECT MIN(Credit_Limit). MAX(Credit_Limit), AVG(Credit_Limit) FROM Credit",0,The highest credit limit is 34516~ the average is 9871~ and the lowest is 516 dollars.,3.5,7.5
P0,MS1,14,Y,Q2,Spoken,Credit,Highest card category,highest card category,highest card category,NP,0,The highest card category is Platinum.,3.5,7.5
P0,MS1,20,Y,Q2,Spoken,Credit,Most common income category of individuals with lower than the median age,most common income character of individuals with lower than the median age,most common income category of individuals with lower than the median age,SELECT Income_Category FROM Credit WHERE Customer_Age < (SELECT PERCENTILE_CONT(0.5) WITHIN GROUP(ORDER BY Customer_Age) FROM Credit) GROUP BY Income_Category ORDER BY COUNT(*) DESC LIMIT 1,0,The most common income category is < $40K for individuals with less than age 42.,3.5,7.5
P0,MS1,22,Y,Q2,Spoken,Credit,Number of individuals with income less than 40 thousand dollars,|number of individuals with income less than $40,number of individuals with incomes less than forty thousand dollars,SELECT COUNT(*) FROM Credit WHERE Income_Category = 'Less than $40K',0,There are 5718 individuals with income < $40K.,3.5,7.5
P0,MS1,3,Y,Q2,Spoken,Credit,What's the average customer age?,what's the average cost of an inch,mmhm,SELECT AVG(Customer_Age) FROM Credit,0,The average customer age is 46.,3.5,7.5
P0,MS1,4,Y,Q2,Spoken,Credit,Who are the oldest and youngest customers?,who are the oldest and youngest customers,one of the oldest and youngest customer,"SELECT MAX(Customer_Age), MIN(Customer_Age) FROM Flight",0,The oldest customer is 78 and youngest is 24.,3.5,7.5
P0,MS1,7,Y,Q2,Spoken,Credit,What is the most common education of a female?,what is the most common education of a female,what is the most common education over email,SELECT Education_Level FROM Credit WHERE Gender = 'F' GROUP BY Education_Level ORDER BY COUNT(*) DESC LIMIT 1,0,The most common education level for Female is Graduate.,3.5,7.5
P0,MS1,11,Y,Q2,Spoken,Credit,How many single~ how many married,how many single how many married,how many single harmony merry,(SELECT COUNT(*) FROM Credit WHERE Marital_Status = 'Single') UNION (SELECT COUNT(*) FROM Credit WHERE Marital_Status = 'Married'),0,There are 4568 Married customers are 3457 Single customers.,3.5,7.5
P0,MS1,10,Y,Q2,Spoken,Credit,Number of High School education level,number of high school education level,number of high school educational,SELECT COUNT(*) FROM Credit WHERE Education_Level = 'High School',0,There are 2617 customers with education level High School.,3.5,7.5
P0,MS1,9,Y,Q2,Spoken,Credit,Most and least common education level,lost and least common education,most and least common educational,(SELECT Education_Level FROM Credit GROUP BY Education_Level ORDER BY COUNT(*) DESC LIMIT 1) UNION (SELECT Education_Level FROM Credit GROUP BY Education_Level ORDER BY COUNT(*) ASC LIMIT 1),0,The most common education level is Graduate~ least common is Doctorate.,3.5,7.5
P0,MS1,5,Y,Q2,Spoken,Credit,How many males are there?,how many males are there,how many emails are there,SELECT COUNT(*) FROM Credit WHERE Gender = 'M',0,There are 4769 Male customers.,3.5,7.5
P0,MS1,8,Y,Q2,Spoken,Credit,Lowest and highest dependent count and average dependent count,lowest and highest dependents count and average dependents count,lowest and highest dependent count and average dependent down,"SELECT MIN(Dependent_Count), MAX(Dependent_Count), AVG(Dependent_Count) FROM Credit",0,The lowest dependent count is 0~ the highest is 8~ and the average is 2.3.,3.5,7.5
P0,MS1,21,Y,Q2,Spoken,Credit,Highest~ lowest~ and average total trans count,highest lowest and average total trans count,hi it's lower than average total cons count,"SELECT MAX(Total_Trans_Ct), MIN(Total_Trans_Ct), AVG(Total_Trans_Ct) FROM Credit ",0,The highest total transaction count is 817~ the average is 65.78~ the lowest is 9.,3.5,7.5
P1,MS2,1,N,E1,Spoken,Flight,column type month,Holland tape,eight months,NP,0,Unknown identifier: “column type”,5.5,4.5
P1,MS2,2,N,E1,Spoken,Flight,column type scheduled departure time,column tight schedule departure time,hold on tight,NP,0,The most common scheduled departure time is 08:30.,5.5,4.5
P1,MS2,3,N,E1,Spoken,Flight,diverted example entries,diverted example entries,diverted example entries,NP,0,There were 17816 diverted flights.,5.5,4.5
P1,MS2,4,N,E1,Spoken,Flight,What days of the week do people fly?,what days of the week do people fly,what days of the week,SELECT Day_Of_Week FROM Flight GROUP BY Day_Of_Week ORDER BY COUNT(*) DESC LIMIT 1,0,The day of the week with the most delays is Tuesday.,5.5,4.5
P1,MS2,5,N,E1,Spoken,Flight,What's the distance traveled?,what's the distance traveled,what's the distance traveled,SELECT Distance FROM Flight,0,The average distance travelled is 806.54 miles.,5.5,4.5
P1,MS2,6,N,E1,Spoken,Flight,How many cancelled flights are there?,how many cancelled flights are there,how many cancelled flights are there,SELECT COUNT(*) FROM Flight WHERE Cancelled = 1,0,There were 78617 cancelled flights.,5.5,4.5
P1,MS2,7,N,E1,Spoken,Flight,What's the origin airport?,what's the origin Airport,what's the origin airport,SELECT Origin_Airport FROM Flight,0,The origin airport with the most delays is MIA.,5.5,4.5
P1,MS2,8,N,E1,Spoken,Flight,What's the destination airport?,what's the destination Airport,the destination airport,SELECT Destination_Airport FROM Flight,0,The destination airport with the most delays is EWR.,5.5,4.5
P1,MS2,9,N,E1,Spoken,Flight,What's the best airport?,what's the best airport,what's the best airport,NP,0,The destination airport with the least delays is zip code 11671.,5.5,4.5
P1,MS2,10,N,E1,Spoken,Flight,What's the most common airline?,what's the most common Airline,the most common airline,SELECT Airline  FROM Flight GROUP BY Airline ORDER BY COUNT(*) DESC LIMIT 1,0,The most common airline is Southwest Airlines.,5.5,4.5
P1,MS2,11,N,E1,Spoken,Flight,What month is the most common to fly in?,what month is the most common tube Lion Library,what month,SELECT Month FROM Flight GROUP BY Month ORDER BY COUNT(*) DESC LIMIT 1,0,The month with the most delays is April.,5.5,4.5
P1,MS2,12,N,E1,Spoken,Flight,What month do the most people fly?,what month do the most people fly,what more do the most people why,SELECT Month FROM Flight GROUP BY Month ORDER BY COUNT(*) DESC LIMIT 1,0,The month with the most delays is April.,5.5,4.5
P1,MS2,13,N,E1,Spoken,Flight,What's the average departure time?,what's the average departure time,the average departure time,SELECT AVG(Departure_Time) FROM Flight,0,The average departure time is 13:47.,5.5,4.5
P1,MS2,14,N,E1,Spoken,Flight,What's the biggest airline?,what's the biggest Airline,it's what the biggest airline,NP,0,Sorry I didn’t get that,5.5,4.5
P1,MS2,15,N,E1,Spoken,Flight,What country do people fly to?,what country do people fly to,what country do people want to,NP,0,Unknown identifier: country,5.5,4.5
P1,MS2,16,N,E1,Spoken,Flight,How many people fly every day?,how many people fly every day,how many people why every day,NP,0,There were 10958 delays each day on average.,5.5,4.5
P1,MS2,17,N,E1,Spoken,Flight,How many cancellations are there?,what how many cancellations are there,what how many cancellations or other,SELECT COUNT(*) FROM Flight WHERE Cancelled = 1,0,There were 78617 cancelled flights.,5.5,4.5
P1,MS2,18,N,E1,Spoken,Flight,Scheduled arrival,scheduled arrival,scheduled arrival,SELECT Scheduled_arrival FROM Flight GROUP BY Scheduled_arrival ORDER BY COUNT(*) DESC LIMIT 1,0,The most common scheduled arrival is 07:00:00.,5.5,4.5
P1,MS2,21,N,E2,Written,Credit,What's the best color?,what's the best color,what's the best color,NP,0,Unknown identifier: “color”,5.5,4.5
P1,MS2,9,N,E2,Written,Credit,What's the income category?,what's the income tatagari,what's that phone category,SELECT Income_Category FROM Credit,0,Unknown identifier: “What is”,5.5,4.5
P1,MS2,15,N,E2,Written,Credit,What's the credit limit?,what's the credit limit,what the credit limit,SELECT Credit_Limit FROM Credit ,0,Unknown identifier: “What is”,5.5,4.5
P1,MS2,18,N,E2,Written,Credit,What's the total transaction amt?,What's the total trans,he told trends,SELECT Total_Trans_Amt FROM Credit ,0,The average total transaction amount is 9817 dollars.,5.5,4.5
P1,MS2,7,N,E2,Written,Credit,What's the marshall status?,what's the martial status,what's the martial status,NP,0,"Unknown identifier: “Marshall""",5.5,4.5
P1,MS2,4,N,E2,Written,Credit,How many female customers?,how many female customers,how many female customers,SELECT COUNT(*) FROM Credit WHERE Gender = 'F',0,There are 4876 Female customers.,5.5,4.5
P1,MS2,3,N,E2,Written,Credit,Gender,gender,gender,SELECT Gender FROM Credit ,0,There are 4600 Male customers.,5.5,4.5
P1,MS2,13,N,E2,Written,Credit,What's the card category?,what's the card category,what the card category,SELECT Card_Category FROM Credit,0,The most common card category is Blue.,5.5,4.5
P1,MS2,20,N,E2,Written,Credit,What's the income?,what's the income,what the income,SELECT Income_Category FROM Credit,0,Unknown identifier: “What is the income”,5.5,4.5
P1,MS2,2,N,E2,Written,Credit,Customer age,customer age,customer age,SELECT Customer_Age FROM Credit,0,The average customer age is 43.,5.5,4.5
P1,MS2,11,N,E2,Written,Credit,What's the income category?,what's the income category,what the income category,SELECT Income_Category FROM Credit,0,I'm sorry~ I do not understand. Can you please rephrase your question?,5.5,4.5
P1,MS2,1,N,E2,Written,Credit,Attrition flag,Patrician flag,Russian flag,SELECT Attrition_Flag FROM Credit  ,0,Unknown identifier: “attrition flag”,5.5,4.5
P1,MS2,12,N,E2,Written,Credit,What's the average income?,what's the average income,what's that average income,NP,0,Unknown identifier: “average” for text column,5.5,4.5
P1,MS2,5,N,E2,Written,Credit,What's the dependent count?,what's the dependent count,let's do the ten day trial,SELECT Dependent_Count FROM Credit,0,The most common dependent count is 1.,5.5,4.5
P1,MS2,8,N,E2,Written,Credit,What's the marital status?,Marsh marital status,the large,SELECT Marital_Status FROM Credit ,0,The most common Marital status is Married.,5.5,4.5
P1,MS2,16,N,E2,Written,Credit,What's the credit limit?,what's the credit limit,what the credit limit,SELECT Credit_Limit FROM Credit ,0,Unknown identifier: “What is”,5.5,4.5
P1,MS2,19,N,E2,Written,Credit,What's the total transaction c t?,What's the total transaction CT,what he told me transaction it,SELECT Total_Trans_Ct FROM Credit ,0,The average total transaction count is 64.57.,5.5,4.5
P1,MS2,10,N,E2,Written,Credit,Income category,you come category,home category,SELECT Income_Category FROM Credit ,0,I'm sorry~ I do not understand. Can you please rephrase your question?,5.5,4.5
P1,MS2,14,N,E2,Written,Credit,What's the month on book?,what's the month on book,what the lawn on Barker,SELECT Months_On_Book FROM Credit ,0,The most common months on book is 12 months.,5.5,4.5
P1,MS2,6,N,E2,Written,Credit,What's the education level?,what's the education level,what the education level,SELECT Education_Level FROM Credit,0,The most common education level is High School,5.5,4.5
P1,MS2,17,N,E2,Written,Credit,What's the total transmission amount?,What's the total transmission amount,once you're told trend,SELECT Total_Trans_Amt FROM Credit,0,Unknown identifier: “What is”,5.5,4.5
P1,MS2,22,N,E2,Written,Credit,What's the best credit card?,what's the best credit card,what's the best credit card,NP,0,The most common card category is Blue.,5.5,4.5
P1,MS2,2,N,Q1,Spoken,Flight,What day of the week do the most people fly?,what day of the week do the most people fly,what day of the week do the most people what,SELECT Day_Of_Week FROM Flight GROUP BY Day_Of_Week ORDER BY COUNT(*) DESC LIMIT 1,0,The day of the week with the most delays is Wednesday,5.5,4.5
P1,MS2,13,N,Q1,Spoken,Flight,What is the best airport?,what is the best airport,what is the best airport,NP,0,Unknown identifier: best,5.5,4.5
P1,MS2,1,N,Q1,Spoken,Flight,What month is the most common to fly in?,what month is the most common to fly in,what month is the most common compliance,SELECT Month FROM Flight GROUP BY Month ORDER BY COUNT(*) DESC LIMIT 1,0,The month with the most delays is March with 504312 delays,5.5,4.5
P1,MS2,10,N,Q1,Spoken,Flight,What is the most arrived at time?,what is the most~ arrived that time,it is the most,SELECT Arrival_Time FROM Flight GROUP BY Arrival_Time ORDER BY COUNT(*) DESC LIMIT 1,0,The most common actual arrival time is 20:45.,5.5,4.5
